"V1","Demeaned series  cpi_all_mom","Constructed series  cpi_all_mom","Cumulative effect of  oil_USD shock on  cpi_all_mom","Cumulative effect of  imp_price_mom shock on  cpi_all_mom","Cumulative effect of  miacr_31 shock on  cpi_all_mom","Cumulative effect of  neer_mom shock on  cpi_all_mom","Cumulative effect of  gdp_per_cap_SA shock on  cpi_all_mom","Cumulative effect of  cpi_all_mom shock on  cpi_all_mom"
75,-0.00398548219372029,-0.00394803895617412,0.000342846733565809,-0.000321133525232601,-0.000332560927028943,0.000862671298157203,-0.00431603368105023,-0.000183828854585359
76,-0.000576491267980541,-0.000529568254284334,0.000327362492806041,-0.000195137690089876,0.00030634967053577,0.00153990551107404,-0.00287106315628014,0.000363014917669837
77,-0.00194531657678151,-0.00187923785553162,-0.000276569212529204,0.000235128618071398,0.000528235088980967,0.000517073951857881,-0.00324967066729958,0.000366564365386919
78,-0.00242656663440553,-0.00233829224127273,-0.00031704720152596,0.000885869244042225,0.000993434025007353,-0.00104115210789147,-0.00242979038253577,-0.000429605818369117
79,-0.00839628948712756,-0.00830002200658624,-9.50597678676436e-05,0.00113532004759268,0.000689344824873751,-0.00123510133842185,-0.00819045282749879,-0.000604072945264401
80,-0.00412195824273634,-0.00401822163656531,-0.000691572461484926,0.000595821527995844,0.000885314279694659,-0.000955527283528662,-0.00387893676768226,2.66790684400279e-05
81,-0.00131320794924769,-0.00119597025784853,-0.000934826153427202,0.000504709345064319,0.000444123546533087,-0.00126286374695913,0.000498875624830968,-0.000445988873890571
82,-0.00233362124226935,-0.00221451122715859,-0.000431069795034636,0.000560507681184131,0.00113487380514484,-0.00202521793149487,-0.000728409437278142,-0.000725195549679903
83,-0.00078066705490479,-0.000667961965544331,-9.42381783778896e-05,0.000154162751271535,0.00088640465882704,-0.00205110175964764,0.000296280510190165,0.000140530052192459
84,0.00347144559361089,0.00358413581532416,0.000367829781013234,0.000168946691410519,0.000510248142188929,-0.000390226100513383,0.00199089154387689,0.000936445757347978
85,0.00611082817706992,0.00621912911664171,0.000832762444272303,2.73715923059113e-05,-0.000449420150046129,0.00045392371370201,0.00446900989545309,0.000885481620954528
86,-0.00020120458471293,-0.000108061953174172,0.000379399858305024,0.000250737390172921,-0.000630474473390651,-0.00069859581304445,0.000550262381501577,4.06087032814074e-05
87,0.00171450378441898,0.00179697745409825,-0.000447733630460402,0.000774111476816944,-7.61961245660191e-05,-0.000777009036635978,0.00273442202583789,-0.000410617256894184
